Case ID, Side Force, Pitching Moment, Normal Force, Yawing Moment , Rolling Moment, Axial Force, Dynamic Pressure, Static Pressure, Air Speed
4,-0.34834,-0.036332,0.185302,-0.161119,0.210897,0.206389,0.243763,0.008633,175.918879
4,-0.339228,-0.048565,0.167551,-0.166341,0.238656,0.207178,0.243494,0.008687,175.821758
4,-0.355263,-0.04987,0.173055,-0.175607,0.268338,0.219061,0.243626,0.009075,175.869253
4,-0.351967,-0.0609,0.162073,-0.183473,0.216609,0.216629,0.243986,0.009081,175.999272
5,-0.579712,-0.067335,0.266405,-0.300377,0.712941,0.356477,0.428967,0.025145,233.367497
5,-0.566541,-0.087779,0.252168,-0.298307,0.712323,0.356775,0.429289,0.025357,233.455155
5,-0.619304,-0.082036,0.287268,-0.334955,0.481223,0.367264,0.429328,0.025007,233.465699
5,-0.579438,-0.053007,0.277284,-0.283823,0.67956,0.350972,0.428034,0.02464,233.113479
5,-0.600569,-0.090421,0.278222,-0.317285,0.65516,0.366871,0.428507,0.02509,233.242278
5,-0.59449,-0.097522,0.283873,-0.327768,0.630383,0.368388,0.42983,0.026202,233.602081
5,-0.59728,-0.057269,0.300667,-0.306694,0.622381,0.352377,0.430542,0.026155,233.795403
5,-0.566462,-0.081918,0.284154,-0.286517,0.59749,0.346767,0.429441,0.025224,233.496445
5,-0.577398,-0.044937,0.302419,-0.290196,0.637109,0.35079,0.428646,0.025007,233.280205
5,-0.535638,-0.111048,0.26004,-0.285039,0.715133,0.363701,0.429246,0.025478,233.443236
5,-0.586563,-0.104183,0.276889,-0.322472,0.628739,0.363392,0.429565,0.025652,233.53001
5,-0.562084,-0.048545,0.277061,-0.279043,0.751273,0.361453,0.428947,0.025279,233.361961
5,-0.605927,-0.122762,0.275951,-0.33295,0.73796,0.356083,0.429159,0.025062,233.419799
5,-0.54833,-0.10273,0.261288,-0.290442,0.722001,0.343628,0.428405,0.025175,233.214502
5,-0.565783,-0.068273,0.281147,-0.279863,0.635749,0.358538,0.429015,0.02548,233.380614
5,-0.548339,-0.050704,0.282648,-0.270369,0.655489,0.368991,0.429374,0.025805,233.478133
5,-0.591572,-0.124272,0.273137,-0.344711,0.617199,0.367609,0.430239,0.026197,233.713103
5,-0.548801,-0.075741,0.264248,-0.286993,0.664918,0.352919,0.43062,0.025842,233.81659
5,-0.527427,-0.039147,0.264107,-0.240684,0.670122,0.354704,0.430005,0.025243,233.649715
5,-0.574985,-0.099523,0.265497,-0.307449,0.70119,0.351456,0.43037,0.025285,233.748859
5,-0.547337,-0.108322,0.249741,-0.28781,0.778176,0.349265,0.430885,0.025635,233.888538
6,-2.980252,0.738099,1.654872,-1.474663,0.174578,-0.004718,0.146181,0.000328,136.230463
6,-2.96953,0.74843,1.645432,-1.468798,0.209829,-0.008185,0.146096,0.00012,136.190677
6,-2.960625,0.734873,1.64242,-1.462072,0.211169,-0.004451,0.145914,0.000167,136.105763
6,-2.970062,0.73414,1.653227,-1.465959,0.181826,-0.001991,0.145816,0.000318,136.060147
6,-2.971442,0.751261,1.642054,-1.464208,0.180897,-0.005646,0.14592,0.000449,136.108734
6,-2.977181,0.737979,1.650614,-1.466367,0.180357,-0.001191,0.146074,0.000552,136.180432
6,-2.963767,0.742084,1.642581,-1.466027,0.171468,-0.002804,0.146055,0.000312,136.171401
6,-2.969322,0.738005,1.649376,-1.459904,0.188761,-0.005607,0.145883,0.000244,136.091435
6,-2.965136,0.700216,1.648475,-1.473202,0.199715,0.001594,0.145841,0.000436,136.071869
6,-2.974636,0.744652,1.657828,-1.460358,0.197741,-0.003956,0.146224,0.000481,136.250415
6,-2.974369,0.732723,1.645111,-1.473769,0.179881,-0.011797,0.146205,0.000459,136.241405
6,-2.966939,0.758079,1.64889,-1.466013,0.181782,0.00385,0.1461,0.00042,136.192577
6,-2.973616,0.723972,1.652599,-1.478381,0.196645,-0.003743,0.145958,0.000406,136.126166
6,-2.970167,0.736299,1.649154,-1.453806,0.192666,-0.003745,0.145869,0.000344,136.084875
6,-2.969335,0.741788,1.653345,-1.464772,0.219824,-0.012496,0.145823,0.000439,136.063326
6,-2.980324,0.759114,1.653329,-1.470945,0.223962,-0.006533,0.146014,0.00053,136.152463
6,-2.974148,0.750047,1.63907,-1.478995,0.243642,0.004764,0.146125,0.000539,136.204294
