Case ID, Side Force, Pitching Moment, Normal Force, Yawing Moment , Rolling Moment, Axial Force, Dynamic Pressure, Static Pressure, Air Speed
7,0.178621,-2.143395,-5.293565,0.129462,0.119372,-0.216167,0.148587,0.000654,136.952619
7,0.173308,-2.139058,-5.292296,0.119602,0.131426,-0.218306,0.148538,0.000528,136.929949
7,0.174233,-2.144564,-5.275492,0.136814,0.136233,-0.210567,0.148398,0.000629,136.865443
7,0.171605,-2.1339,-5.289689,0.136468,0.154453,-0.206563,0.148285,0.000579,136.813533
7,0.168725,-2.133266,-5.292725,0.123801,0.160599,-0.217848,0.148603,0.000845,136.959988
7,0.172072,-2.142453,-5.285557,0.126597,0.128623,-0.21427,0.14867,0.000741,136.990857
7,0.175924,-2.154447,-5.284714,0.133352,0.124985,-0.207787,0.14846,0.000668,136.894139
7,0.17333,-2.138218,-5.261232,0.129719,0.140253,-0.206367,0.148327,0.000558,136.832698
7,0.174183,-2.13593,-5.272454,0.135365,0.145485,-0.223899,0.148087,0.000593,136.72214
7,0.175301,-2.136098,-5.280265,0.131476,0.119777,-0.210261,0.148187,0.000709,136.768097
7,0.170599,-2.140224,-5.286245,0.119605,0.157981,-0.207924,0.148317,0.000735,136.828336
7,0.174013,-2.141839,-5.289513,0.136841,0.14856,-0.214665,0.148477,0.00079,136.902011
7,0.173853,-2.147273,-5.301249,0.148523,0.143542,-0.221301,0.148658,0.000891,136.985338
7,0.174889,-2.15564,-5.305479,0.141781,0.173093,-0.204308,0.148782,0.000898,137.042476
7,0.170251,-2.150128,-5.288204,0.108823,0.172262,-0.201078,0.148831,0.000767,137.065139
7,0.178473,-2.138986,-5.296384,0.157413,0.161219,-0.217321,0.148689,0.000694,136.999716
7,0.174354,-2.144383,-5.280121,0.129345,0.137598,-0.22104,0.148535,0.00068,136.928674
8,0.206806,-3.007541,-6.454789,0.14711,0.10683,-0.440304,0.148503,0.000473,136.914097
8,0.213253,-3.007283,-6.442041,0.163258,0.104569,-0.436168,0.148378,0.000449,136.856276
8,0.216925,-3.015394,-6.464283,0.160519,0.128007,-0.444681,0.148351,0.000441,136.843999
8,0.211244,-3.011303,-6.469438,0.156805,0.117332,-0.442044,0.148428,0.000624,136.87941
8,0.20636,-3.003742,-6.464154,0.141174,0.132628,-0.440707,0.148662,0.000681,136.987175
8,0.215527,-3.022944,-6.474297,0.174089,0.139386,-0.43631,0.148756,0.000619,137.03056
8,0.212163,-3.013145,-6.470978,0.163792,0.115173,-0.434703,0.148773,0.000504,137.038213
8,0.211373,-3.020699,-6.454587,0.156299,0.11974,-0.44405,0.148607,0.000342,136.962056
8,0.210786,-3.007906,-6.45136,0.153162,0.107351,-0.440586,0.148394,0.000354,136.863769
8,0.209346,-3.020968,-6.469195,0.175392,0.130399,-0.431888,0.148425,0.000633,136.878138
8,0.211521,-3.032188,-6.465266,0.170375,0.138656,-0.445323,0.148816,0.000626,137.058161
8,0.20287,-3.013884,-6.455132,0.145373,0.119008,-0.444684,0.148882,0.000563,137.088379
8,0.211898,-3.006886,-6.452297,0.147351,0.116797,-0.439458,0.14869,0.000501,137.000274
8,0.21591,-3.015304,-6.455963,0.170337,0.103014,-0.433995,0.148491,0.000459,136.908409
8,0.214222,-3.027001,-6.451365,0.167031,0.137861,-0.436175,0.148419,0.000366,136.875237
8,0.206939,-3.002128,-6.45831,0.155601,0.149878,-0.445973,0.148445,0.000342,136.887079
8,0.216181,-3.020317,-6.471592,0.174284,0.108003,-0.438053,0.148485,0.00058,136.905454
8,0.209169,-3.026509,-6.461794,0.153926,0.12084,-0.438107,0.14902,0.000702,137.152267
8,0.211389,-3.010985,-6.448788,0.152834,0.118748,-0.443282,0.14884,0.000477,137.069141
8,0.216782,-3.020104,-6.464759,0.175908,0.123867,-0.442116,0.148643,0.000408,136.978668
8,0.209547,-3.018875,-6.459019,0.145398,0.108699,-0.437077,0.148538,0.000445,136.930226
9,0.236401,-2.518504,-7.291096,-0.264235,-0.666553,-0.391072,0.148408,0.000166,136.870236
9,0.225813,-2.514784,-7.280712,-0.287123,-0.669402,-0.390551,0.148331,0.000358,136.834856
9,0.226052,-2.548428,-7.258279,-0.276255,-0.70675,-0.395503,0.148455,0.000409,136.891937
9,0.212074,-2.464347,-7.228856,-0.346761,-0.723689,-0.379483,0.148423,0.000338,136.877069
9,0.228298,-2.604332,-7.294531,-0.282024,-0.579177,-0.409625,0.148344,0.00026,136.840504
9,0.234753,-2.600094,-7.284427,-0.259226,-0.598131,-0.412606,0.148179,0.000164,136.764502
9,0.232362,-2.715886,-7.339068,-0.270583,-0.515406,-0.423328,0.148044,0.000265,136.702142
9,0.22307,-2.602923,-7.312386,-0.295481,-0.615068,-0.397068,0.148117,0.000549,136.736057
9,0.227307,-2.434726,-7.22631,-0.32445,-0.785588,-0.379087,0.148382,0.000617,136.858175
